dates,Pit01_10,Pit01_40,Pit01_80,Pit02_10,Pit02_40,Pit02_80,Pit03_10,Pit03_40,Pit03_80,Pit04_10,Pit04_40,Pit04_80,Pit05_10,Pit05_40,Pit05_80,Pit06_10,Pit06_40,Pit06_80,Pit07_10,Pit07_40,Pit07_80,Pit08_10,Pit08_40,Pit08_80
2018-03-28 12:00:00,40.38151,31.48323,30.63819,38.44565,37.00956,40.17935,44.60135,36.47354,44.53708,47.10978,38.69957,36.4225,41.87598,39.74582,36.95888,57.9932,42.46202,45.31878,41.33588,39.78696,53.24697,48.24105,40.77027,44.36547
2018-03-28 12:30:00,40.38380607142857,31.485628154761905,30.640451964285717,38.446901964285715,37.01139681547619,40.18096824404762,44.60335166666666,36.47950419642857,44.53790919642857,47.11126657738095,38.70067672619048,36.431721220238096,41.876512738095236,39.74918928571429,36.95975526785714,57.993038750000004,42.46292898809524,45.31869556547619,41.33725190476191,39.78992800595238,53.246858869047614,48.24285324404762,40.77169684523809,44.36766955357143
2018-03-28 13:00:00,40.38610214285714,31.488026309523807,30.642713928571432,38.44815392857143,37.01323363095238,40.18258648809524,44.605353333333326,36.48546839285714,44.53873839285715,47.112753154761904,38.70178345238095,36.44094244047619,41.877045476190474,39.75255857142857,36.96063053571429,57.9928775,42.463837976190476,45.31861113095238,41.33862380952381,39.792896011904766,53.24674773809524,48.24465648809524,40.77312369047619,44.36986910714286
2018-03-28 13:30:00,40.388398214285715,31.490424464285713,30.644975892857143,38.44940589285714,37.015070446428574,40.18420473214286,44.607355,36.491432589285715,44.53956758928572,47.114239732142856,38.70289017857143,36.45016366071429,41.87757821428571,39.75592785714286,36.96150580357143,57.99271625,42.464746964285716,45.31852669642857,41.33999571428572,39.79586401785714,53.246636607142854,48.24645973214286,40.77455053571428,44.37206866071429
2018-03-28 14:00:00,40.39069428571428,31.49282261904762,30.64723785714286,38.45065785714286,37.01690726190476,40.18582297619047,44.60935666666666,36.49739678571429,44.540396785714286,47.11572630952381,38.70399690476191,36.45938488095238,41.87811095238095,39.75929714285714,36.962381071428574,57.992555,42.465655952380956,45.31844226190476,41.341367619047624,39.798832023809524,53.24652547619047,48.248262976190475,40.77597738095238,44.37426821428571
2018-03-28 14:30:00,40.39299035714286,31.49522077380952,30.649499821428574,38.45190982142857,37.01874407738095,40.18744122023809,44.61135833333333,36.50336098214286,44.54122598214286,47.11721288690476,38.70510363095238,36.468606101190474,41.87864369047619,39.76266642857143,36.963256339285714,57.992393750000005,42.4665649404762,45.31835782738095,41.34273952380953,39.80180002976191,53.246414345238094,48.2500662202381,40.77740422619047,44.37646776785714
2018-03-28 15:00:00,40.395286428571424,31.497618928571427,30.65176178571429,38.453161785714286,37.02058089285714,40.18905946428571,44.61336,36.50932517857143,44.54205517857143,47.11869946428571,38.70621035714286,36.47782732142857,41.87917642857143,39.766035714285714,36.96413160714286,57.9922325,42.46747392857143,45.31827339285714,41.34411142857143,39.80476803571429,53.24630321428571,48.25186946428572,40.77883107142857,44.37866732142857
2018-03-28 15:30:00,40.3975825,31.500017083333333,30.65402375,38.45441375,37.022417708333336,40.19067770833333,44.615361666666665,36.515289375,44.542884375,47.12018604166667,38.707317083333336,36.48704854166667,41.879709166666665,39.769405,36.965006875,57.99207125,42.46838291666667,45.31818895833333,41.345483333333334,39.807736041666665,53.246192083333334,48.25367270833333,40.78025791666666,44.380866875
2018-03-28 16:00:00,40.39987857142857,31.50241523809524,30.656285714285715,38.455665714285715,37.024254523809525,40.19229595238095,44.61736333333333,36.52125357142857,44.543713571428576,47.12167261904762,38.70842380952381,36.49626976190476,41.8802419047619,39.772774285714284,36.96588214285714,57.991910000000004,42.46929190476191,45.318104523809524,41.346855238095245,39.81070404761905,53.24608095238095,48.255475952380955,40.781684761904756,44.38306642857143
2018-03-28 16:30:00,40.40217464285714,31.50481339285714,30.65854767857143,38.45691767857143,37.02609133928571,40.19391419642857,44.619364999999995,36.527217767857145,44.544542767857145,47.123159196428574,38.709530535714286,36.50549098214286,41.88077464285714,39.77614357142858,36.96675741071429,57.99174875,42.47020089285714,45.31802008928571,41.34822714285715,39.81367205357143,53.24596982142857,48.25727919642857,40.78311160714286,44.38526598214286
