datetime,J,J_sd,n_trees
2023-05-01T22:00:00Z,0.0013917644013100453,0.0016551938993073468,17
2023-05-01T22:30:00Z,0.0011098530458776574,0.001590509719827387,17
2023-05-01T23:00:00Z,9.646259839882464e-4,0.0015120358241114185,17
2023-05-01T23:30:00Z,9.987970573739906e-4,0.0014467982088258462,17
2023-05-02T00:00:00Z,9.475404472953745e-4,0.0013934038387552763,17
2023-05-02T00:30:00Z,8.023133854059626e-4,0.0013635596122926357,17
2023-05-02T01:00:00Z,8.279416904452707e-4,0.0013427482417169973,17
2023-05-02T01:30:00Z,6.485435551701152e-4,0.0013001899685551165,17
2023-05-02T02:00:00Z,6.827146285558589e-4,0.0012984211662272992,17
2023-05-02T02:30:00Z,6.485435551701152e-4,0.0012550078388315939,17
2023-05-02T03:00:00Z,5.11859261627139e-4,0.0012443604816524433,17
2023-05-02T03:30:00Z,5.802014083986266e-4,0.0012342925987791368,17
2023-05-02T04:00:00Z,4.093460414699078e-4,0.0011987631831339837,17
2023-05-02T04:30:00Z,3.75174968084164e-4,0.0011919480607242433,17
2023-05-02T05:00:00Z,2.726617479269327e-4,0.001168526105284914,17
2023-05-02T05:30:00Z,1.8723406446257226e-4,0.0012007943450641138,17
2023-05-02T06:00:00Z,2.4703344288762405e-4,0.0012165996064154954,17
2023-05-02T06:30:00Z,5.0549770919596626e-5,0.0012531169285743,17
2023-05-02T07:00:00Z,4.1788880981634397e-4,0.0013441132485574455,17
2023-05-02T07:30:00Z,4.0080327312347157e-4,0.0013918324673121904,17
2023-05-02T08:00:00Z,3.410241275111594e-4,0.0015943490323440863,17
2023-05-02T08:30:00Z,4.4182879399910384e-4,0.0017946539378265042,17
2023-05-02T09:00:00Z,1.814167389052469e-4,0.0020535349745232105,17
2023-05-02T09:30:00Z,9.206509598168399e-4,0.002157348334348461,17
2023-05-02T10:00:00Z,9.465097795169316e-4,0.0025961559593325563,17
2023-05-02T10:30:00Z,0.0011253567684471558,0.00263735264886144,17
2023-05-02T11:00:00Z,0.0014586625205443918,0.0024499894872546894,17
2023-05-02T11:30:00Z,0.0011253567684471552,0.002393495066917259,17
