date,v10_adapted,v40_adapted,v80_adapted,sd
2018-04-28 02:00:00,0.1909511169151338,0.16629644191513374,0.19703951453418142,0.0565907460076309
2018-04-28 02:30:00,0.1909147910955948,0.16626883484559482,0.19700671847654724,0.0565722060774691
2018-04-28 03:00:00,0.1908784652760558,0.16624122777605582,0.19697392241891293,0.0565536661473074
2018-04-28 03:30:00,0.1908421394565168,0.1662136207065168,0.1969411263612787,0.0565351262171457
2018-04-28 04:00:00,0.1908058136369777,0.16618601363697774,0.19690833030364438,0.0565165862869839
2018-04-28 04:30:00,0.1907694878174387,0.1661584065674387,0.19687553424601006,0.0564980463568222
2018-04-28 05:00:00,0.1907331619978997,0.16613079949789977,0.19684273818837594,0.0564795064266605
2018-04-28 05:30:00,0.1906968361783607,0.1661031924283608,0.1968099421307417,0.0564609664964988
2018-04-28 06:00:00,0.1906605103588217,0.16607558535882178,0.19677714607310748,0.056442426566337
2018-04-28 06:30:00,0.1906241845392827,0.1660479782892828,0.1967443500154732,0.0564238866361753
2018-04-28 07:00:00,0.1905878587197437,0.16602037121974372,0.19671155395783896,0.0564053467060136
2018-04-28 07:30:00,0.1905515329002047,0.1659927641502048,0.19667875790020478,0.0563868067758519
2018-04-28 08:00:00,0.1905152070806657,0.16596515708066575,0.19664596184257052,0.0563682668456901
2018-04-28 08:30:00,0.1904788812611267,0.16593755001112673,0.19661316578493623,0.0563497269155284
2018-04-28 09:00:00,0.1904425554415877,0.1659099429415877,0.19658036972730206,0.0563311869853667
2018-04-28 09:30:00,0.1904062296220487,0.16588233587204873,0.19654757366966782,0.0563126470552049
2018-04-28 10:00:00,0.1903699038025096,0.16585472880250954,0.19651477761203331,0.0562941071250432
2018-04-28 10:30:00,0.1903335779829706,0.16582712173297068,0.1964819815543993,0.0562755671948815
2018-04-28 11:00:00,0.1902972521634316,0.16579951466343165,0.1964491854967649,0.0562570272647198
2018-04-28 11:30:00,0.1902609263438926,0.16577190759389263,0.19641638943913078,0.056238487334558
2018-04-28 12:00:00,0.1902246005243536,0.16574430052435365,0.19638359338149644,0.0562199474043963
2018-04-28 12:30:00,0.1901882747048146,0.16571669345481463,0.1963507973238622,0.0562014074742346
2018-04-28 13:00:00,0.1901519488852756,0.16568908638527569,0.196318001266228,0.0561828675440728
2018-04-28 13:30:00,0.1901156230657366,0.16566147931573671,0.19628520520859383,0.0561643276139111
2018-04-28 14:00:00,0.1900792972461976,0.16563387224619763,0.19625240915095954,0.0561457876837494
2018-04-28 14:30:00,0.190035477934649,0.165598771684649,0.19621211960131565,0.0561167967588924
2018-04-28 15:00:00,0.1899916586231003,0.16556367112310028,0.19617183005167177,0.0560878058340354
2018-04-28 15:30:00,0.1899478393115517,0.1655285705615517,0.19613154050202783,0.0560588149091784
2018-04-28 16:00:00,0.1899040200000031,0.165493470000003,0.19609125095238403,0.0560298239843214
2018-04-28 16:30:00,0.1898602006884545,0.16545836943845454,0.19605096140274025,0.0560008330594645
2018-04-28 17:00:00,0.1898163813769058,0.16542326887690575,0.1960106718530963,0.0559718421346075
2018-04-28 17:30:00,0.1897725620653572,0.1653881683153572,0.19597038230345237,0.0559428512097505
2018-04-28 18:00:00,0.1897287427538086,0.16535306775380856,0.19593009275380854,0.0559138602848935
2018-04-28 18:30:00,0.1896849234422599,0.16531796719225988,0.1958898032041646,0.0558848693600365
2018-04-28 19:00:00,0.1896411041307113,0.16528286663071137,0.19584951365452077,0.0558558784351795
2018-04-28 19:30:00,0.1895972848191627,0.16524776606916272,0.19580922410487697,0.0558268875103225
2018-04-28 20:00:00,0.1895534655076141,0.16521266550761415,0.1957689345552332,0.0557978965854656
2018-04-28 20:30:00,0.1895096461960654,0.16517756494606536,0.19572864500558915,0.0557689056606086
2018-04-28 21:00:00,0.1894658268845168,0.1651424643845168,0.19568835545594532,0.0557399147357516
2018-04-28 21:30:00,0.1894220075729682,0.16510736382296823,0.1956480659063016,0.0557109238108946
2018-04-28 22:00:00,0.1893781882614195,0.1650722632614195,0.1956077763566576,0.0556819328860376
2018-04-28 22:30:00,0.1893343689498709,0.16503716269987087,0.19556748680701383,0.0556529419611806
2018-04-28 23:00:00,0.1892905496383223,0.16500206213832228,0.19552719725736992,0.0556239510363236
