dt,mean soil water content (m3/m3),sd,sample size
2018-04-28 02:00:00,0.1909511169151338,0.05659074600763091,21.0
2018-04-28 02:30:00,0.1909147910955948,0.05657220607746918,21.0
2018-04-28 03:00:00,0.1908784652760558,0.05655366614730745,21.0
2018-04-28 03:30:00,0.1908421394565168,0.05653512621714572,21.0
2018-04-28 04:00:00,0.19080581363697777,0.05651658628698399,21.0
2018-04-28 04:30:00,0.19076948781743877,0.05649804635682227,21.0
2018-04-28 05:00:00,0.19073316199789975,0.05647950642666054,21.0
2018-04-28 05:30:00,0.19069683617836075,0.05646096649649881,21.0
2018-04-28 06:00:00,0.19066051035882176,0.056442426566337085,21.0
2018-04-28 06:30:00,0.19062418453928273,0.056423886636175355,21.0
2018-04-28 07:00:00,0.19058785871974374,0.056405346706013625,21.0
2018-04-28 07:30:00,0.1905515329002047,0.0563868067758519,21.0
2018-04-28 08:00:00,0.19051520708066572,0.05636826684569017,21.0
2018-04-28 08:30:00,0.19047888126112672,0.05634972691552844,21.0
2018-04-28 09:00:00,0.1904425554415877,0.05633118698536672,21.0
2018-04-28 09:30:00,0.1904062296220487,0.05631264705520499,21.0
2018-04-28 10:00:00,0.19036990380250968,0.056294107125043256,21.0
2018-04-28 10:30:00,0.19033357798297068,0.05627556719488153,21.0
2018-04-28 11:00:00,0.19029725216343166,0.0562570272647198,21.0
2018-04-28 11:30:00,0.19026092634389266,0.05623848733455807,21.0
2018-04-28 12:00:00,0.19022460052435367,0.05621994740439635,21.0
2018-04-28 12:30:00,0.19018827470481464,0.05620140747423462,21.0
2018-04-28 13:00:00,0.19015194888527565,0.05618286754407289,21.0
2018-04-28 13:30:00,0.19011562306573662,0.056164327613911165,21.0
2018-04-28 14:00:00,0.19007929724619763,0.056145787683749435,21.0
2018-04-28 14:30:00,0.190035477934649,0.056116796758892445,21.0
2018-04-28 15:00:00,0.18999165862310036,0.05608780583403546,21.0
2018-04-28 15:30:00,0.18994783931155174,0.05605881490917848,21.0
2018-04-28 16:00:00,0.18990402000000312,0.05602982398432149,21.0
2018-04-28 16:30:00,0.1898602006884545,0.0560008330594645,21.0
2018-04-28 17:00:00,0.18981638137690587,0.05597184213460752,21.0
2018-04-28 17:30:00,0.18977256206535723,0.05594285120975054,21.0
2018-04-28 18:00:00,0.1897287427538086,0.05591386028489355,21.0
2018-04-28 18:30:00,0.18968492344225998,0.05588486936003656,21.0
2018-04-28 19:00:00,0.18964110413071134,0.05585587843517958,21.0
2018-04-28 19:30:00,0.18959728481916271,0.055826887510322595,21.0
2018-04-28 20:00:00,0.1895534655076141,0.055797896585465606,21.0
2018-04-28 20:30:00,0.18950964619606547,0.05576890566060862,21.0
2018-04-28 21:00:00,0.18946582688451685,0.055739914735751635,21.0
2018-04-28 21:30:00,0.1894220075729682,0.05571092381089465,21.0
2018-04-28 22:00:00,0.18937818826141958,0.05568193288603766,21.0
2018-04-28 22:30:00,0.18933436894987096,0.055652941961180674,21.0
2018-04-28 23:00:00,0.18929054963832231,0.05562395103632369,21.0
2018-04-28 23:30:00,0.1892467303267737,0.05559496011146671,21.0
2018-04-29 00:00:00,0.18920291101522507,0.05556596918660972,21.0
2018-04-29 00:30:00,0.18915909170367645,0.05553697826175273,21.0
2018-04-29 01:00:00,0.18911527239212783,0.05550798733689575,21.0
2018-04-29 01:30:00,0.18907145308057918,0.05547899641203877,21.0
2018-04-29 02:00:00,0.18902763376903056,0.05545000548718178,21.0
2018-04-29 02:30:00,0.1890148514395586,0.055434370970788856,21.0
2018-04-29 03:00:00,0.1890020691100866,0.05541873645439593,21.0
2018-04-29 03:30:00,0.18898928678061463,0.055403101938003005,21.0
2018-04-29 04:00:00,0.18897650445114267,0.055387467421610076,21.0
