dates,theta_10cm,theta_std_10cm,theta_40cm,theta_std_40cm,theta_80cm,theta_std_80cm
2018-04-28 02:00:00,0.3824255101190476,0.06328917424493112,0.35136523005952386,0.03425569735345636,0.3903049467261904,0.059872978852805056
2018-04-28 02:30:00,0.3823292211309524,0.06329970474450171,0.35130173087797617,0.03426158594508549,0.39026714233630955,0.05989093773616913
2018-04-28 03:00:00,0.3822329321428572,0.06331025349089382,0.35123823169642854,0.0342674851532249,0.39022933794642856,0.0599089206935468
2018-04-28 03:30:00,0.3821366431547619,0.06332082047498816,0.35117473251488096,0.03427339497239259,0.3901915335565477,0.05992692770326556
2018-04-28 04:00:00,0.3820403541666667,0.06333140568765569,0.35111123333333333,0.034279315397100454,0.39015372916666674,0.05994495874364998
2018-04-28 04:30:00,0.3819440651785715,0.06334200911975779,0.3510477341517857,0.03428524642185442,0.39011592477678575,0.059963013793021845
2018-04-28 05:00:00,0.38184777619047616,0.06335263076214623,0.3509842349702381,0.03429118804115425,0.39007812038690476,0.05998109282970007
2018-04-28 05:30:00,0.381751487202381,0.06336327060566314,0.3509207357886905,0.03429714024949379,0.3900403159970238,0.059999195832001063
2018-04-28 06:00:00,0.38165519821428573,0.0633739286411412,0.35085723660714296,0.034303103041360854,0.39000251160714283,0.060017322778238576
2018-04-28 06:30:00,0.38155890922619046,0.06338460485940356,0.35079373742559516,0.03430907641123733,0.3899647072172619,0.06003547364672392
2018-04-28 07:00:00,0.3814626202380953,0.06339529925126386,0.35073023824404764,0.03431506035359916,0.38992690282738096,0.060053648415766
2018-04-28 07:30:00,0.38136633124999997,0.06340601180752636,0.3506667390625,0.034321054862916256,0.3898890984375,0.06007184706367144
2018-04-28 08:00:00,0.38127004226190486,0.0634167425189859,0.3506032398809524,0.03432705993365282,0.3898512940476191,0.060090069568744645
2018-04-28 08:30:00,0.38117375327380953,0.06342749137642786,0.35053974069940474,0.03433307556026702,0.38981348965773804,0.06010831590928794
2018-04-28 09:00:00,0.38107746428571426,0.06343825837062853,0.3504762415178571,0.03433910173721124,0.38977568526785716,0.060126586063601585
2018-04-28 09:30:00,0.380981175297619,0.06344904349235461,0.35041274233630954,0.034345138458931994,0.38973788087797623,0.06014488000998394
2018-04-28 10:00:00,0.38088488630952383,0.0634598467323638,0.3503492431547619,0.034351185719870066,0.3897000764880953,0.06016319772673146
2018-04-28 10:30:00,0.38078859732142856,0.06347066808140435,0.35028574397321427,0.03435724351446034,0.38966227209821436,0.060181539192138915
2018-04-28 11:00:00,0.38069230833333334,0.06348150753021546,0.3502222447916667,0.034363311837132,0.3896244677083333,0.060199904384499354
2018-04-28 11:30:00,0.3805960193452381,0.06349236506952713,0.35015874561011906,0.03436939068230847,0.3895866633184524,0.06021829328210423
2018-04-28 12:00:00,0.3804997303571428,0.06350324069006018,0.3500952464285714,0.03437548004440748,0.38954885892857144,0.060236705863243555
2018-04-28 12:30:00,0.38040344136904763,0.06351413438252645,0.35003174724702385,0.03438157991784102,0.3895110545386905,0.06025514210620589
2018-04-28 13:00:00,0.38030715238095236,0.06352504613762862,0.3499682480654762,0.03438769029701541,0.3894732501488095,0.06027360198927851
2018-04-28 13:30:00,0.38021086339285715,0.06353597594606039,0.34990474888392853,0.03439381117633134,0.38943544575892863,0.06029208549074738
2018-04-28 14:00:00,0.38011457440476193,0.0635469237985065,0.34984124970238095,0.03439994255018385,0.3893976413690476,0.06031059258889746
2018-04-28 14:30:00,0.3800182854166666,0.06355788968564263,0.3497777505208334,0.034406084412962355,0.38935983697916665,0.060329123262012514
2018-04-28 15:00:00,0.37992199642857144,0.06356887359813566,0.3497142513392858,0.03441223675905071,0.38932203258928566,0.06034767748837539
2018-04-28 15:30:00,0.3798257074404762,0.06357987552664353,0.3496507521577381,0.034418399582827164,0.3892842281994048,0.06036625524626805
2018-04-28 16:00:00,0.37972941845238095,0.06359089546181532,0.34958725297619053,0.03442457287866448,0.38924642380952384,0.060384856513971664
2018-04-28 16:30:00,0.37963312946428573,0.06360193339429131,0.34952375379464284,0.034430756640929844,0.3892086194196429,0.06040348126976664
2018-04-28 17:00:00,0.3795368404761905,0.06361298931470297,0.34946025461309527,0.03443695086398495,0.3891708150297619,0.06042212949193283
2018-04-28 17:30:00,0.3794405514880952,0.06362406321367305,0.34939675543154763,0.03444315554218604,0.3891330106398809,0.060440801158749516
2018-04-28 18:00:00,0.37934426250000003,0.06363515508181558,0.34933325625,0.03444937066988386,0.38909520625,0.06045949624849545
2018-04-28 18:30:00,0.37924797351190476,0.0636462649097359,0.3492697570684524,0.03445559624142379,0.38905740186011906,0.06047821473944911
2018-04-28 19:00:00,0.37915168452380954,0.06365739268803065,0.34920625788690474,0.0344618322511457,0.3890195974702381,0.06049695660988867
2018-04-28 19:30:00,0.3790553955357143,0.06366853840728799,0.3491427587053572,0.03446807869338417,0.3889817930803571,0.06051572183809202
2018-04-28 20:00:00,0.37895910654761905,0.06367970205808735,0.3490792595238096,0.03447433556246832,0.3889439886904762,0.06053451040233698
2018-04-28 20:30:00,0.37886281755952383,0.06369088363099971,0.3490157603422619,0.034480602852721996,0.3889061843005952,0.060553322280901406
2018-04-28 21:00:00,0.37876652857142856,0.06370208311658751,0.34895226116071426,0.034486880558463676,0.3888683799107143,0.060572157452063076
2018-04-28 21:30:00,0.37867023958333335,0.0637133005054047,0.3488887619791667,0.03449316867400654,0.3888305755208334,0.06059101589409997
2018-04-28 22:00:00,0.37857395059523813,0.06372453578799685,0.34882526279761905,0.03449946719365853,0.38879277113095245,0.06060989758529028
2018-04-28 22:30:00,0.37847766160714286,0.06373578895490098,0.3487617636160714,0.03450577611172227,0.3887549667410714,0.06062880250391245
2018-04-28 23:00:00,0.37838137261904764,0.06374705999664589,0.34869826443452384,0.03451209542249517,0.38871716235119047,0.06064773062824536
2018-04-28 23:30:00,0.37828508363095237,0.06375834890375195,0.3486347652529762,0.034518425120269466,0.38867935796130954,0.06066668193656833
2018-04-29 00:00:00,0.37818879464285715,0.06376965566673122,0.3485712660714286,0.03452476519933211,0.38864155357142854,0.06068565640716117
2018-04-29 00:30:00,0.37809250565476193,0.06378098027608756,0.348507766889881,0.03453111565396501,0.3886037491815476,0.06070465401830446
2018-04-29 01:00:00,0.37799621666666666,0.06379232272231648,0.34844426770833337,0.03453747647844476,0.3885659447916667,0.06072367474827932
2018-04-29 01:30:00,0.37789992767857145,0.06380368299590541,0.3483807685267857,0.03454384766704303,0.38852814040178574,0.06074271857536779
2018-04-29 02:00:00,0.3778036386904762,0.06381506108733348,0.34831726934523816,0.03455022921402619,0.3884903360119048,0.060761785477852694
2018-04-29 02:30:00,0.37770734970238096,0.06382645698707175,0.34825377016369047,0.03455662111365564,0.3884525316220238,0.06078087543401784
2018-04-29 03:00:00,0.3776110607142858,0.06383787068558322,0.34819027098214295,0.034563023360187704,0.3884147272321429,0.06079998842214811
2018-04-29 03:30:00,0.37751477172619047,0.0638493021733227,0.34812677180059526,0.034569435947873615,0.38837692284226194,0.060819124420529426
2018-04-29 04:00:00,0.37741848273809525,0.06386075144073707,0.3480632726190477,0.034575858870959715,0.388339118452381,0.06083828340744892
2018-04-29 04:30:00,0.37732219375,0.06387221847826514,0.3479997734375,0.03458229212368714,0.38830131406249996,0.06085746536119508
2018-04-29 05:00:00,0.37722590476190476,0.06388370327633781,0.34793627425595236,0.034588735700292285,0.388263509672619,0.060876670260057664
2018-04-29 05:30:00,0.37712961577380955,0.06389520582537798,0.3478727750744048,0.03459518959500644,0.3882257052827381,0.06089589808232784
2018-04-29 06:00:00,0.3770333267857143,0.06390672611580067,0.3478092758928571,0.03460165380205601,0.38818790089285715,0.06091514880629841
2018-04-29 06:30:00,0.3769370377976191,0.06391826413801308,0.3477457767113096,0.034608128315662456,0.3881500965029762,0.06093442241026369
2018-04-29 07:00:00,0.3768407488095238,0.0639298198824145,0.34768227752976194,0.034614613130042465,0.38811229211309534,0.060953718872519616
2018-04-29 07:30:00,0.37674445982142857,0.06394139333939648,0.34761877834821425,0.03462110823940773,0.38807448772321423,0.06097303817136395
2018-04-29 08:00:00,0.37664817083333335,0.0639529844993428,0.34755527916666673,0.03462761363796517,0.3880366833333333,0.06099238028509633
2018-04-29 08:30:00,0.3765518818452382,0.0639645933526294,0.34749177998511904,0.034634129319916836,0.3879988789434524,0.061011745192018144
2018-04-29 09:00:00,0.3764555928571429,0.06397621988962468,0.3474282808035714,0.03464065527946005,0.3879610745535715,0.06103113287043292
2018-04-29 09:30:00,0.3763593038690476,0.0639878641006893,0.34736478162202383,0.03464719151078729,0.3879232701636905,0.06105054329864617
2018-04-29 10:00:00,0.3762630148809524,0.06399952597617622,0.3473012824404762,0.03465373800808632,0.38788546577380956,0.061069976454965584
2018-04-29 10:30:00,0.37616672589285716,0.06401120550643094,0.34723778325892857,0.03466029476554011,0.38784766138392857,0.06108943231770101
2018-04-29 11:00:00,0.3760704369047619,0.0640229026817913,0.347174284077381,0.034666861777327036,0.3878098569940476,0.061108910865164665
2018-04-29 11:30:00,0.37597414791666667,0.0640346174925876,0.34711078489583336,0.03467343903762066,0.38777205260416664,0.0611284120756711
2018-04-29 12:00:00,0.3758778589285715,0.0640463499291427,0.3470472857142858,0.0346800265405899,0.3877342482142857,0.06114793592753733
2018-04-29 12:30:00,0.3757815699404762,0.06405809998177195,0.3469837865327381,0.034686624280399106,0.3876964438244048,0.06116748239908288
2018-04-29 13:00:00,0.37568528095238096,0.06406986764078326,0.3469202873511905,0.03469323225120791,0.3876586394345239,0.06118705146862988
2018-04-29 13:30:00,0.3755889919642858,0.06408165289647724,0.3468567881696428,0.034699850447171394,0.38762083504464284,0.06120664311450316
2018-04-29 14:00:00,0.3754927029761905,0.06409345573914699,0.34679328898809525,0.034706478862440014,0.3875830306547619,0.06122625731503024
2018-04-29 14:30:00,0.3753964139880953,0.0641052761590784,0.3467297898065476,0.034713117491159705,0.38754522626488097,0.06124589404854154
2018-04-29 15:00:00,0.375300125,0.06411711414654998,0.346666290625,0.03471976632747185,0.38750742187500004,0.06126555329337035
2018-04-29 15:30:00,0.37520383601190477,0.064128969691833,0.3466027914434524,0.0347264253655133,0.3874696174851191,0.061285235027852956
2018-04-29 16:00:00,0.3751075470238095,0.06414084278519155,0.3465392922619048,0.034733094599416425,0.3874318130952382,0.06130493923032868
2018-04-29 16:30:00,0.37501125803571433,0.06415273341688241,0.3464757930803572,0.034739774023309127,0.3873940087053571,0.06132466587913998
2018-04-29 17:00:00,0.374914969047619,0.06416464157715533,0.34641229389880956,0.034746463631314825,0.3873562043154762,0.061344414952632514
2018-04-29 17:30:00,0.3748186800595238,0.06417656725625283,0.3463487947172619,0.03475316341755253,0.3873183999255953,0.061364186429155206
2018-04-29 18:00:00,0.37472239107142863,0.06418851044441035,0.34628529553571435,0.03475987337613683,0.38728059553571437,0.06138398028706033
2018-04-29 18:30:00,0.3746261020833333,0.06420047113185634,0.3462217963541667,0.03476659350117795,0.3872427911458334,0.06140379650470363
2018-04-29 19:00:00,0.3745298130952381,0.06421244930881209,0.3461582971726191,0.03477332378678172,0.3872049867559524,0.06142363506044429
2018-04-29 19:30:00,0.3744335241071429,0.064224444965492,0.3460947979910714,0.03478006422704962,0.38716718236607145,0.06144349593264508
2018-04-29 20:00:00,0.3743372351190476,0.06423645809210343,0.3460312988095238,0.03478681481607883,0.3871293779761905,0.061463379099672436
2018-04-29 20:30:00,0.3742409461309524,0.06424848867884687,0.3459677996279762,0.034793575547962224,0.3870915735863095,0.061483284539896474
2018-04-29 21:00:00,0.3741446571428572,0.06426053671591589,0.34590430044642856,0.03480034641678837,0.3870537691964286,0.061503212231691126
2018-04-29 21:30:00,0.3740483681547619,0.06427260219349716,0.345840801264881,0.03480712741664159,0.3870159648065477,0.06152316215343414
2018-04-29 22:00:00,0.3739520791666666,0.06428468510177057,0.34577730208333335,0.03481391854160198,0.38697816041666666,0.061543134283507286
2018-04-29 22:30:00,0.3738557901785714,0.06429678543090918,0.34571380290178577,0.034820719785745406,0.38694035602678567,0.061563128600296224
2018-04-29 23:00:00,0.37375950119047624,0.06430890317107925,0.3456503037202381,0.034827531143143506,0.38690255163690473,0.06158314508219077
2018-04-29 23:30:00,0.373663212202381,0.06432103831244038,0.3455868045386905,0.034834352607863835,0.38686474724702385,0.06160318370758486
2018-04-30 00:00:00,0.3735669232142857,0.06433319084514545,0.34552330535714293,0.034841184173969676,0.3868269428571429,0.06162324445487664
2018-04-30 00:30:00,0.37347063422619053,0.06434536075934061,0.34545980617559524,0.03484802583552024,0.386789138467262,0.06164332730246855
2018-04-30 01:00:00,0.37337434523809526,0.06435754804516546,0.3453963069940476,0.034854877586570694,0.3867513340773809,0.061663432228767426
2018-04-30 01:30:00,0.37327805625,0.06436975269275293,0.3453328078125,0.034861739421171954,0.3867135296875,0.06168355921218444
