dates,Pit01_10,Pit01_40,Pit01_80,Pit02_10,Pit02_40,Pit02_80,Pit03_10,Pit03_40,Pit03_80,Pit04_10,Pit04_40,Pit04_80,Pit05_10,Pit05_40,Pit05_80,Pit06_10,Pit06_40,Pit06_80,Pit07_10,Pit07_40,Pit07_80,Pit08_10,Pit08_40,Pit08_80
2018-04-28 02:00:00,0.3295656702380953,0.2757190273809524,0.2825984857142857,0.3132677142857143,0.3363225119047619,0.3904234523809524,0.3952313869047619,0.3448745678571429,0.4377303869047619,0.37369458095238095,0.3483530666666667,0.3421635797619048,0.3137091678571429,0.3663387047619047,0.36226342976190473,0.5073020726190476,0.3933185738095238,0.45143965238095235,0.38167543095238093,0.35770759523809526,0.47869723214285714,0.4449580571428571,0.3882877928571428,0.3771233547619048
2018-04-28 02:30:00,0.32946328601190483,0.27564692886904757,0.2825424892857143,0.3131754857142858,0.33625522559523807,0.3903990976190476,0.3951743068452381,0.34484047589285716,0.43772030684523805,0.3735871940476191,0.34827773333333334,0.3421171264880952,0.31353845089285715,0.36624362023809526,0.36225198898809524,0.5071845461309524,0.39328221369047617,0.4514386226190476,0.381612756547619,0.3576303047619047,0.47868279910714284,0.44489774285714284,0.38823734464285714,0.3769847077380953
2018-04-28 03:00:00,0.32936090178571437,0.27557483035714286,0.2824864928571429,0.3130832571428572,0.3361879392857143,0.3903747428571429,0.3951172267857143,0.34480638392857144,0.43771022678571425,0.3734798071428571,0.3482024000000001,0.34207067321428575,0.3133677339285714,0.3661485357142857,0.3622405482142857,0.5070670196428572,0.3932458535714286,0.4514375928571428,0.3815500821428572,0.3575530142857143,0.4786683660714286,0.4448374285714286,0.38818689642857146,0.37684606071428567
2018-04-28 03:30:00,0.3292585175595238,0.2755027318452381,0.28243049642857143,0.3129910285714286,0.3361206529761905,0.39035038809523814,0.39506014672619044,0.34477229196428577,0.4377001467261905,0.37337242023809525,0.3481270666666667,0.3420242199404762,0.3131970169642857,0.3660534511904762,0.36222910744047615,0.5069494931547619,0.393209493452381,0.45143656309523805,0.3814874077380952,0.3574757238095238,0.4786539330357143,0.44477711428571426,0.3881364482142858,0.3767074136904762
2018-04-28 04:00:00,0.3291561333333333,0.27543063333333334,0.2823745,0.31289880000000003,0.3360533666666667,0.3903260333333334,0.3950030666666667,0.34473820000000005,0.43769006666666666,0.37326503333333333,0.3480517333333334,0.3419777666666667,0.31302630000000004,0.36595836666666665,0.36221766666666666,0.5068319666666666,0.3931731333333333,0.4514355333333333,0.3814247333333334,0.3573984333333333,0.47863950000000005,0.4447168,0.388086,0.3765687666666667
2018-04-28 04:30:00,0.32905374910714286,0.2753585348214286,0.28231850357142857,0.31280657142857143,0.33598608035714284,0.39030167857142856,0.3949459866071429,0.34470410803571433,0.4376799866071429,0.3731576464285714,0.3479764,0.34193131339285715,0.31285558303571426,0.3658632821428571,0.3622062258928571,0.5067144401785714,0.3931367732142857,0.45143450357142856,0.38136205892857145,0.3573211428571429,0.47862506696428575,0.44465648571428573,0.3880355517857143,0.3764301196428571
2018-04-28 05:00:00,0.3289513648809524,0.2752864363095238,0.2822625071428571,0.31271434285714284,0.33591879404761904,0.3902773238095238,0.39488890654761905,0.34467001607142855,0.43766990654761906,0.37305025952380955,0.34790106666666665,0.3418848601190477,0.31268486607142854,0.3657681976190476,0.3621947851190476,0.5065969136904762,0.39310041309523813,0.4514334738095238,0.38129938452380957,0.3572438523809524,0.4786106339285714,0.44459617142857144,0.3879851035714286,0.3762914726190476
2018-04-28 05:30:00,0.3288489806547619,0.27521433779761906,0.2822065107142857,0.3126221142857143,0.33585150773809525,0.3902529690476191,0.3948318264880952,0.34463592410714283,0.4376598264880952,0.3729428726190476,0.3478257333333334,0.3418384068452381,0.31251414910714287,0.3656731130952381,0.36218334434523813,0.506479387202381,0.3930640529761905,0.451432444047619,0.38123671011904764,0.3571665619047619,0.47859620089285715,0.44453585714285715,0.38793465535714283,0.37615282559523816
2018-04-28 06:00:00,0.32874659642857146,0.2751422392857143,0.2821505142857143,0.3125298857142858,0.33578422142857145,0.3902286142857143,0.39477474642857147,0.34460183214285717,0.4376497464285714,0.3728354857142857,0.34775040000000007,0.3417919535714286,0.31234343214285715,0.3655780285714285,0.36217190357142853,0.5063618607142858,0.3930276928571429,0.45143141428571426,0.3811740357142857,0.35708927142857144,0.47858176785714285,0.44447554285714286,0.38788420714285715,0.37601417857142855
2018-04-28 06:30:00,0.328644212202381,0.27507014077380953,0.2820945178571429,0.31243765714285715,0.3357169351190476,0.39020425952380955,0.3947176663690476,0.34456774017857145,0.4376396663690476,0.3727280988095238,0.3476750666666667,0.341745500297619,0.3121727151785714,0.36548294404761905,0.36216046279761904,0.5062443342261905,0.39299133273809517,0.4514303845238095,0.38111136130952383,0.357011980952381,0.4785673348214286,0.44441522857142857,0.38783375892857147,0.37587553154761905
